CustomerID,CustomerName,ContactNumber,Email,Address,City,State,Country,PostalCode,RegistrationDate
1,John Doe,123456789,john.doe@example.com,123 Main St,New York,NY,USA,10001,1/1/2020
2,Customer 2,309652396,customer2@example.com,9745 Main St,New York,NY,USA,38436,01/01/2020
3,Customer 3,498764591,customer3@example.com,3225 Main St,New York,NY,USA,33905,01/02/2020
4,Customer 4,504868288,customer4@example.com,5022 Main St,New York,NY,USA,36981,01/03/2020
5,Customer 5,541365315,customer5@example.com,1135 Main St,New York,NY,USA,86473,01/04/2020
6,Customer 6,563622907,customer6@example.com,26 Main St,New York,NY,USA,55463,01/05/2020
7,Customer 7,292771779,customer7@example.com,9681 Main St,New York,NY,USA,76589,01/06/2020
8,Customer 8,517693031,customer8@example.com,957 Main St,New York,NY,USA,29361,01/07/2020
9,Customer 9,845841673,customer9@example.com,1914 Main St,New York,NY,USA,31875,01/08/2020
10,Customer 10,630702035,customer10@example.com,2935 Main St,New York,NY,USA,46661,01/09/2020
11,Customer 11,726610453,customer11@example.com,9662 Main St,New York,NY,USA,12679,01/10/2020
12,Customer 12,677165042,customer12@example.com,2722 Main St,New York,NY,USA,86723,01/11/2020
13,Customer 13,905680932,customer13@example.com,929 Main St,New York,NY,USA,80486,01/12/2020
14,Customer 14,304159575,customer14@example.com,5628 Main St,New York,NY,USA,41222,01/13/2020
15,Customer 15,708910406,customer15@example.com,6266 Main St,New York,NY,USA,78201,01/14/2020
16,Customer 16,343580376,customer16@example.com,5447 Main St,New York,NY,USA,94977,01/15/2020
17,Customer 17,197308044,customer17@example.com,470 Main St,New York,NY,USA,40857,01/16/2020
18,Customer 18,673126970,customer18@example.com,8718 Main St,New York,NY,USA,49606,01/17/2020
19,Customer 19,279207654,customer19@example.com,1864 Main St,New York,NY,USA,10851,01/18/2020
20,Customer 20,367012647,customer20@example.com,1721 Main St,New York,NY,USA,15028,01/19/2020
21,Customer 21,224102743,customer21@example.com,5273 Main St,New York,NY,USA,30177,01/20/2020
22,Customer 22,392249176,customer22@example.com,592 Main St,New York,NY,USA,99236,01/21/2020
23,Customer 23,713256017,customer23@example.com,6186 Main St,New York,NY,USA,49920,01/22/2020
24,Customer 24,854181797,customer24@example.com,2323 Main St,New York,NY,USA,65082,01/23/2020
25,Customer 25,469705497,customer25@example.com,208 Main St,New York,NY,USA,84305,01/24/2020
26,Customer 26,405097549,customer26@example.com,4263 Main St,New York,NY,USA,32036,01/25/2020
27,Customer 27,475363656,customer27@example.com,3422 Main St,New York,NY,USA,48212,01/26/2020
28,Customer 28,474217481,customer28@example.com,5250 Main St,New York,NY,USA,92032,01/27/2020
29,Customer 29,736393364,customer29@example.com,8409 Main St,New York,NY,USA,44735,01/28/2020
30,Customer 30,186837363,customer30@example.com,8217 Main St,New York,NY,USA,92570,01/29/2020
31,Customer 31,607843536,customer31@example.com,5104 Main St,New York,NY,USA,11384,01/30/2020
32,Customer 32,454849523,customer32@example.com,7940 Main St,New York,NY,USA,89403,01/31/2020
33,Customer 33,989724613,customer33@example.com,2283 Main St,New York,NY,USA,75599,02/01/2020
34,Customer 34,220932350,customer34@example.com,1741 Main St,New York,NY,USA,79524,02/02/2020
35,Customer 35,702801999,customer35@example.com,6119 Main St,New York,NY,USA,61654,02/03/2020
36,Customer 36,615448239,customer36@example.com,5847 Main St,New York,NY,USA,72729,02/04/2020
37,Customer 37,615770816,customer37@example.com,3782 Main St,New York,NY,USA,62668,02/05/2020
38,Customer 38,311134424,customer38@example.com,2776 Main St,New York,NY,USA,29055,02/06/2020
39,Customer 39,318660017,customer39@example.com,2604 Main St,New York,NY,USA,56499,02/07/2020
40,Customer 40,187950109,customer40@example.com,7180 Main St,New York,NY,USA,97314,02/08/2020
41,Customer 41,231121811,customer41@example.com,6357 Main St,New York,NY,USA,46209,02/09/2020
42,Customer 42,868281747,customer42@example.com,1163 Main St,New York,NY,USA,18010,02/10/2020
43,Customer 43,607984782,customer43@example.com,624 Main St,New York,NY,USA,69618,02/11/2020
44,Customer 44,700956192,customer44@example.com,8963 Main St,New York,NY,USA,89073,02/12/2020
45,Customer 45,452272321,customer45@example.com,4052 Main St,New York,NY,USA,61115,02/13/2020
46,Customer 46,715697673,customer46@example.com,1242 Main St,New York,NY,USA,81299,02/14/2020
47,Customer 47,260516793,customer47@example.com,9014 Main St,New York,NY,USA,29340,02/15/2020
48,Customer 48,936096639,customer48@example.com,4404 Main St,New York,NY,USA,82932,02/16/2020
49,Customer 49,137003808,customer49@example.com,1199 Main St,New York,NY,USA,63121,02/17/2020
50,Customer 50,193837855,customer50@example.com,2998 Main St,New York,NY,USA,24705,02/18/2020
51,Customer 51,554869706,customer51@example.com,5662 Main St,New York,NY,USA,66448,02/19/2020
52,Customer 52,807217652,customer52@example.com,808 Main St,New York,NY,USA,96823,02/20/2020
53,Customer 53,162515875,customer53@example.com,2122 Main St,New York,NY,USA,35274,02/21/2020
54,Customer 54,900291326,customer54@example.com,8068 Main St,New York,NY,USA,92212,02/22/2020
55,Customer 55,204082891,customer55@example.com,3887 Main St,New York,NY,USA,41075,02/23/2020
56,Customer 56,985408951,customer56@example.com,8923 Main St,New York,NY,USA,63251,02/24/2020
57,Customer 57,393921570,customer57@example.com,6067 Main St,New York,NY,USA,80882,02/25/2020
58,Customer 58,680757632,customer58@example.com,9988 Main St,New York,NY,USA,33417,02/26/2020
59,Customer 59,180701568,customer59@example.com,1824 Main St,New York,NY,USA,23729,02/27/2020
60,Customer 60,418433188,customer60@example.com,200 Main St,New York,NY,USA,33836,02/28/2020
61,Customer 61,605240629,customer61@example.com,1448 Main St,New York,NY,USA,66132,02/29/2020
62,Customer 62,742848645,customer62@example.com,5182 Main St,New York,NY,USA,79658,03/01/2020
63,Customer 63,581447462,customer63@example.com,5209 Main St,New York,NY,USA,76272,03/02/2020
64,Customer 64,602227700,customer64@example.com,6178 Main St,New York,NY,USA,36872,03/03/2020
65,Customer 65,686215697,customer65@example.com,4864 Main St,New York,NY,USA,93891,03/04/2020
66,Customer 66,932141647,customer66@example.com,6181 Main St,New York,NY,USA,21465,03/05/2020
67,Customer 67,755405444,customer67@example.com,1793 Main St,New York,NY,USA,89285,03/06/2020
68,Customer 68,880912233,customer68@example.com,1484 Main St,New York,NY,USA,43374,03/07/2020
69,Customer 69,958778666,customer69@example.com,8390 Main St,New York,NY,USA,28504,03/08/2020
70,Customer 70,570332858,customer70@example.com,895 Main St,New York,NY,USA,55302,03/09/2020
71,Customer 71,585603871,customer71@example.com,5375 Main St,New York,NY,USA,68503,03/10/2020
72,Customer 72,903296120,customer72@example.com,137 Main St,New York,NY,USA,25835,03/11/2020
73,Customer 73,754332161,customer73@example.com,6274 Main St,New York,NY,USA,17788,03/12/2020
74,Customer 74,948819521,customer74@example.com,9585 Main St,New York,NY,USA,62547,03/13/2020
75,Customer 75,526405863,customer75@example.com,3420 Main St,New York,NY,USA,34404,03/14/2020
76,Customer 76,358666409,customer76@example.com,169 Main St,New York,NY,USA,36951,03/15/2020
77,Customer 77,816257571,customer77@example.com,6005 Main St,New York,NY,USA,48111,03/16/2020
78,Customer 78,757731430,customer78@example.com,2853 Main St,New York,NY,USA,77840,03/17/2020
79,Customer 79,832884087,customer79@example.com,9754 Main St,New York,NY,USA,21909,03/18/2020
80,Customer 80,834051083,customer80@example.com,4420 Main St,New York,NY,USA,24281,03/19/2020
81,Customer 81,564510034,customer81@example.com,8040 Main St,New York,NY,USA,28387,03/20/2020
82,Customer 82,653734235,customer82@example.com,8701 Main St,New York,NY,USA,70935,03/21/2020
83,Customer 83,102946944,customer83@example.com,3187 Main St,New York,NY,USA,70565,03/22/2020
84,Customer 84,381012622,customer84@example.com,5919 Main St,New York,NY,USA,99564,03/23/2020
85,Customer 85,563129187,customer85@example.com,5150 Main St,New York,NY,USA,23704,03/24/2020
86,Customer 86,588384053,customer86@example.com,1778 Main St,New York,NY,USA,60859,03/25/2020
87,Customer 87,422325388,customer87@example.com,3362 Main St,New York,NY,USA,19774,03/26/2020
88,Customer 88,401492857,customer88@example.com,8339 Main St,New York,NY,USA,83728,03/27/2020
89,Customer 89,265035946,customer89@example.com,5394 Main St,New York,NY,USA,83064,03/28/2020
90,Customer 90,910037332,customer90@example.com,4318 Main St,New York,NY,USA,28931,03/29/2020
91,Customer 91,676702667,customer91@example.com,4606 Main St,New York,NY,USA,78219,03/30/2020
92,Customer 92,997430278,customer92@example.com,2563 Main St,New York,NY,USA,34919,03/31/2020
93,Customer 93,538279108,customer93@example.com,6214 Main St,New York,NY,USA,90992,04/01/2020
94,Customer 94,756229423,customer94@example.com,9101 Main St,New York,NY,USA,82531,04/02/2020
95,Customer 95,997118847,customer95@example.com,4653 Main St,New York,NY,USA,38954,04/03/2020
96,Customer 96,680073460,customer96@example.com,6236 Main St,New York,NY,USA,81712,04/04/2020
97,Customer 97,792819075,customer97@example.com,424 Main St,New York,NY,USA,49366,04/05/2020
98,Customer 98,757595236,customer98@example.com,6855 Main St,New York,NY,USA,15985,04/06/2020
99,Customer 99,451544500,customer99@example.com,968 Main St,New York,NY,USA,47292,04/07/2020
100,Customer 100,114137320,customer100@example.com,4371 Main St,New York,NY,USA,85577,04/08/2020
101,Customer 101,805957710,customer101@example.com,9053 Main St,New York,NY,USA,65986,04/09/2020
102,Customer 102,630471866,customer102@example.com,6188 Main St,New York,NY,USA,20413,04/10/2020
103,Customer 103,782769175,customer103@example.com,5204 Main St,New York,NY,USA,40441,04/11/2020
104,Customer 104,477989839,customer104@example.com,434 Main St,New York,NY,USA,78740,04/12/2020
105,Customer 105,574057613,customer105@example.com,6238 Main St,New York,NY,USA,70857,04/13/2020
106,Customer 106,850555509,customer106@example.com,1430 Main St,New York,NY,USA,10093,04/14/2020
107,Customer 107,771430485,customer107@example.com,2547 Main St,New York,NY,USA,89249,04/15/2020
108,Customer 108,388629296,customer108@example.com,330 Main St,New York,NY,USA,45235,04/16/2020
109,Customer 109,693491249,customer109@example.com,3613 Main St,New York,NY,USA,46546,04/17/2020
110,Customer 110,221742917,customer110@example.com,8402 Main St,New York,NY,USA,75940,04/18/2020
111,Customer 111,944314793,customer111@example.com,6762 Main St,New York,NY,USA,15037,04/19/2020
